Auction Date,Property Address,Final Judgment,Assessed Value,Plaintiff Max Bid,Case #,Parcel ID,Case Link,Parcel Link
07/22/2026 10:00 AM ET,"3326 FARRAGUT ST 6-E HOLLYWOOD, 33021","$383,590.10",,"$383,590.10",CACE-24-002238,514205AA0390,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-24-002238&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=514205AA0390
07/22/2026 10:00 AM ET,"3051 S PALM AIRE DR POMPANO BEACH, 33069","$75,221.51",,Hidden,CACE-24-016354,494204CM0280,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-24-016354&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494204CM0280
07/22/2026 10:00 AM ET,"308 SW 80 TER NORTH LAUDERDALE, 33068","$202,804.44",,Hidden,CACE-25-002488,494102080860,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-002488&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494102080860
07/22/2026 10:00 AM ET,"4461 SW 34 DR DANIA BEACH, 33312","$775,580.53",,Hidden,CACE-25-002997,504230080220,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-002997&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=504230080220
07/22/2026 10:00 AM ET,"12113 NW 33 ST SUNRISE, 33323","$457,867.35",,"$455,800.00",CACE-25-007478,494024122120,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-007478&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494024122120
07/22/2026 10:00 AM ET,"9420 NW 24 PL PEMBROKE PINES, 33024","$467,895.25",,Hidden,CACE-25-013698,514108060120,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-013698&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=514108060120
07/22/2026 10:00 AM ET,"7983 EXETER BLVD E 103 TAMARAC, 33321","$21,857.76",,"$7,004.37",CACE-25-016604,TIMESHARE,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-016604&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=TIMESHARE
07/22/2026 10:00 AM ET,"4271 NW 5 ST 128 PLANTATION, 33317","$182,386.00",,"$182,386.00",CACE-26-004960,504101AC0890,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-26-004960&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=504101AC0890
07/23/2026 10:00 AM ET,"13382 LAKEPOINTE CIR COOPER CITY, 33330","$15,458.47",,"$23,900.00",CACE-23-021250,504035082010,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-23-021250&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=504035082010
07/23/2026 10:00 AM ET,"3028 S OAKLAND FOREST DR 3205 OAKLAND PARK, 33309","$137,248.66",,"$159,622.42",CACE-24-011211,494220CB0750,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-24-011211&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494220CB0750
07/23/2026 10:00 AM ET,"8489 NW 43 CT CORAL SPRINGS, 33065","$770,444.62",,"$770,444.62",CACE-25-005443,484115152840,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-005443&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=484115152840
07/23/2026 10:00 AM ET,"4040 GALT OCEAN DR 511 FORT LAUDERDALE, 33308","$66,204.06",,"$71,966.15",CACE-25-007347,494319CM1120,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-007347&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494319CM1120
07/23/2026 10:00 AM ET,"5059 NW 42 ST LAUDERDALE LAKES, 33319","$7,919.07",,"$7,919.07",CACE-25-016380,494124130840,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-016380&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494124130840
07/23/2026 10:00 AM ET,"4250 NW 55 DR COCONUT CREEK, 33073","$8,343.31",,"$8,343.31",CACE-25-017818,484208060720,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-017818&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=484208060720
07/23/2026 10:00 AM ET,"3370 NW 21 CT COCONUT CREEK, 33066","$5,547.06",,"$5,547.06",CACE-25-018558,484229160580,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-018558&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=484229160580
07/24/2026 10:00 AM ET,"3591 INVERRARY BLVD W LAUDERHILL, 33319","$8,191.56",,"$8,191.56",COCE-25-080423,494122280055,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=COCE-25-080423&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494122280055
07/24/2026 10:00 AM ET,"4253 SW 124 TER MIRAMAR, 33027","$9,742.91",,"$9,742.91",COWE-26-021926,514035141360,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=COWE-26-021926&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=514035141360
07/28/2026 10:00 AM ET,"2301 NW 102 AVE PEMBROKE PINES, 33026","$361,765.76",,"$361,765.76",CACE-16-016939,514107041150,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-16-016939&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=514107041150
07/28/2026 10:00 AM ET,"1313 SW 75 AVE NORTH LAUDERDALE, 33068","$436,119.01",,"$436,119.01",CACE-18-027297,494102141741,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-18-027297&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494102141741
07/28/2026 10:00 AM ET,"4956 ROTHSCHILD DR CORAL SPRINGS, 33067","$493,927.22",,"$493,927.22",CACE-19-023537,484111060480,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-19-023537&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=484111060480
07/28/2026 10:00 AM ET,"37 FORT ROYAL ISLE FORT LAUDERDALE, 33308","$1,833,510.52",,"$1,592,151.30",CACE-22-002484,494319031270,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-22-002484&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494319031270
07/28/2026 10:00 AM ET,"530 E MELROSE CIR FORT LAUDERDALE, 33312","$464,035.57",,"$464,035.57",CACE-23-016206,504207021720,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-23-016206&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=504207021720
07/28/2026 10:00 AM ET,"10275 SW 24 ST MIRAMAR, 33025","$424,052.74",,"$424,052.74",CACE-24-000407,514119092240,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-24-000407&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=514119092240
07/28/2026 10:00 AM ET,"4128 SW 183 AVE MIRAMAR, 33029","$602,022.66",,"$602,022.66",CACE-24-013582,514031031850,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-24-013582&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=514031031850
07/28/2026 10:00 AM ET,"6081 GRAND CYPRESS CIR W COCONUT CREEK, 33073","$226,758.36",,"$226,758.36",CACE-25-006823,484206420980,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-006823&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=484206420980
07/28/2026 10:00 AM ET,"5380 NW 32 CT MARGATE, 33063","$226,311.29",,"$226,311.29",CACE-25-010858,484219031080,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-010858&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=484219031080
07/28/2026 10:00 AM ET,"6890 ROYAL PALM BLVD 304-H MARGATE, 33063","$175,788.69",,"$175,788.69",CACE-25-011292,484125BD0280,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-011292&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=484125BD0280
07/29/2026 10:00 AM ET,"1481 NW 104 AVE PLANTATION, 33322","$518,374.24",,"$518,374.24",CACE-20-001203,494131071590,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-20-001203&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494131071590
07/29/2026 10:00 AM ET,"9571 ASHLEY DR MIRAMAR, 33025","$229,646.67",,"$229,646.67",CACE-22-002423,514120080480,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-22-002423&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=514120080480
07/29/2026 10:00 AM ET,"3519 SW 15 CT FORT LAUDERDALE, 33312","$419,342.86",,"$419,342.86",CACE-22-014096,504218210600,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-22-014096&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=504218210600
07/29/2026 10:00 AM ET,"13085 ADDILYN CT DAVIE, 33325","$1,041,747.63",,"$1,041,747.63",CACE-24-003326,504011300120,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-24-003326&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=504011300120
07/29/2026 10:00 AM ET,"3850 SW 124 AVE MIRAMAR, 33027","$612,163.22",,"$612,163.22",CACE-24-005649,514026010076,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-24-005649&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=514026010076
07/29/2026 10:00 AM ET,"4921 NW 11 PL LAUDERHILL, 33313","$219,656.52",,Hidden,CACE-24-008842,494136031270,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-24-008842&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494136031270
07/29/2026 10:00 AM ET,"142 NW 8 AVE DANIA BEACH, 33004","$308,360.96",,"$308,360.96",CACE-24-017522,504234014041,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-24-017522&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=504234014041
07/29/2026 10:00 AM ET,"1141 NW 29 WAY UNINCORPORATED, 33301","$158,045.13",,Hidden,CACE-25-002066,494232080060,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-002066&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494232080060
07/29/2026 10:00 AM ET,"10340 NW 10 CT PLANTATION, 33322","$304,373.04",,Hidden,CACE-25-004309,494131140880,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-004309&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494131140880
07/29/2026 10:00 AM ET,"8021 SUNRISE LAKES DR N 310 SUNRISE, 33322","$171,463.18",,Hidden,CACE-25-005412,494128CH0340,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-005412&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494128CH0340
07/30/2026 10:00 AM ET,"2950 N PALM AIRE DR 50 POMPANO BEACH, 33069","$150,890.17",,"$150,890.17",CACE-23-014031,Property,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-23-014031&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=Property
07/30/2026 10:00 AM ET,"317 SE 7 AVE DEERFIELD BEACH, 33441","$672,908.89",,"$672,908.89",CACE-24-005931,484306330290,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-24-005931&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=484306330290
07/30/2026 10:00 AM ET,"7111 NW 68 AVE TAMARAC, 33321","$306,023.79",,"$306,023.79",CACE-24-006273,494103031940,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-24-006273&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494103031940
07/30/2026 10:00 AM ET,"3535 JACKSON BLVD FORT LAUDERDALE, 33312","$286,007.28",,"$286,007.28",CACE-24-010939,504207052710,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-24-010939&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=504207052710
07/30/2026 10:00 AM ET,"2061 NW 46 AVE LAUDERHILL, 33313","$45,383.50",,"$45,383.50",CACE-24-017795,494125GG1370,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-24-017795&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494125GG1370
07/30/2026 10:00 AM ET,"4141 NW 26 ST 316 LAUDERHILL, 33313","$102,512.07",,"$102,512.07",CACE-25-000856,494125GD0540,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-000856&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494125GD0540
07/30/2026 10:00 AM ET,"1531 NE 35 ST OAKLAND PARK, 33334","$1,031,342.45",,Hidden,CACE-25-009197,494223061681,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-009197&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494223061681
07/30/2026 10:00 AM ET,"840 W PALM RUN DR NORTH LAUDERDALE, 33068","$373,225.26",,Hidden,CACE-25-012241,494101390210,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-25-012241&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494101390210
07/30/2026 10:00 AM ET,"1401 SW 135 TER 112H PEMBROKE PINES, 33027","$16,756.40",,"$16,756.40",CACE-26-000650,514014AJ1240,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=CACE-26-000650&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=514014AJ1240
07/31/2026 10:00 AM ET,"9925 NW 45 ST SUNRISE, 33351","$10,624.77",,"$10,624.77",COCE-25-088956,494117190490,https://broward.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=COCE-25-088956&bypassPage=1,https://bcpa.net/RecInfo.asp?URL_Folio=494117190490
